ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
144,Toscana Congress Gmunden,47.90977957,13.78842298,OBEROESTERREICH,"Toscana 6, 4810 Gmunden",,NOT FREE,EVENT VENUE,INDOOR,NO
145,Travel Shack,48.1931,16.3376,WIEN,"Mariahilfer Gürtel 21/4, 1150 Wien",http://www.travelshackvienna.com/,FREE,BAR,INDOOR,NO
146,TSV Sportheim Sankt Johann im Pongau,47.36042008,13.20268187,SALZBURG,"Sportplatzweg 7, 5600 Sankt Johann im Pongau",,FREE,EVENT VENUE,OUTDOOR,NO
147,Tutto BERNY,48.30090594,14.2937154,OBEROESTERREICH,"Hessenplatz 2, 4020 Linz",,NOT FREE,BAR,INDOOR,NO
148,Union Arbing,48.22290123,14.70787931,OBEROESTERREICH,"Schlossberg 57, 4341 Arbing",,FREE,EVENT VENUE,OUTDOOR,NO
149,Union Bad Kreuzen Sektion Fussball,48.25908381,14.81979324,OBEROESTERREICH,"Neuaigen 14, 4362 Bad Kreuzen",,FREE,EVENT VENUE,OUTDOOR,NO
150,Union Reichl Brot St. Marien,48.14538813,14.2825381,OBEROESTERREICH,"Sportplatzstraße 4, 4502 St. Marien",,FREE,EVENT VENUE,OUTDOOR,NO
151,Union Schönau,48.39781582,14.73239154,OBEROESTERREICH,"Almstraße 6, 4274 Schönau",,FREE,EVENT VENUE,OUTDOOR,NO
152,Union Sport Streicher Seewalchen,47.95461165,13.58507978,OBEROESTERREICH,"Rathausplatz 1, 4863 Seewalchen am Attersee",,FREE,EVENT VENUE,OUTDOOR,NO
153,USV Atzenbrugg/Heiligeneich,48.29413492,15.88916776,NIEDEROESTERREICH,"Sportplatz 2, 3452 Heiligeneich",,FREE,EVENT VENUE,OUTDOOR,NO
154,Verein Dr. Franz Rehrl Studentenheim,47.7943306,13.0515881,SALZBURG,"Petersbrunnstraße 14 , 5020 Salzburg",,FREE,OTHER,INDOOR,NO
155,Verein Stoderspatzerl,47.44281575,13.90349467,STEIERMARK,"Kurpark Gröbming, 8962 Gröbming",,FREE,OTHER,OUTDOOR,NO
